Value,Format,Metric,Year
,On-Demand Streaming (Ad-Supported),Value,1984
,Other Ad-Supported Streaming,Value,1984
,Synchronization,Value,1984
243.7044851,CD,Value (Adjusted),1984
,CD Single,Value (Adjusted),1984
5624.076689,Cassette,Value (Adjusted),1984
,Cassette Single,Value (Adjusted),1984
3653.915842,LP/EP,Value (Adjusted),1984
704.6905101,Vinyl Single,Value (Adjusted),1984
,8 - Track,Value (Adjusted),1984
,Other Tapes,Value (Adjusted),1984
,Music Video (Physical),Value (Adjusted),1984
,DVD Audio,Value (Adjusted),1984
,SACD,Value (Adjusted),1984
,Download Single,Value (Adjusted),1984
,Download Album,Value (Adjusted),1984
,Kiosk,Value (Adjusted),1984
,Download Music Video,Value (Adjusted),1984
,Ringtones & Ringbacks,Value (Adjusted),1984
,Other Digital,Value (Adjusted),1984
,Paid Subscription,Value (Adjusted),1984
,Limited Tier Paid Subscription,Value (Adjusted),1984
,SoundExchange Distributions,Value (Adjusted),1984
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1984
,Other Ad-Supported Streaming,Value (Adjusted),1984
,Synchronization,Value (Adjusted),1984
22.6,CD,Units,1985
,CD Single,Units,1985
339.1,Cassette,Units,1985
,Cassette Single,Units,1985
167,LP/EP,Units,1985
120.7,Vinyl Single,Units,1985
,8 - Track,Units,1985
,Other Tapes,Units,1985
,Music Video (Physical),Units,1985
,DVD Audio,Units,1985
,SACD,Units,1985
,Download Single,Units,1985
,Download Album,Units,1985
,Kiosk,Units,1985
,Download Music Video,Units,1985
,Ringtones & Ringbacks,Units,1985
,,Units,1985
,Paid Subscriptions,Units,1985
389.5,CD,Value,1985
,CD Single,Value,1985
2411.5,Cassette,Value,1985
,Cassette Single,Value,1985
1280.5,LP/EP,Value,1985
281,Vinyl Single,Value,1985
,8 - Track,Value,1985
,Other Tapes,Value,1985
,Music Video (Physical),Value,1985
,DVD Audio,Value,1985
,SACD,Value,1985
,Download Single,Value,1985
,Download Album,Value,1985
,Kiosk,Value,1985
,Download Music Video,Value,1985
,Ringtones & Ringbacks,Value,1985
,Other Digital,Value,1985
,Paid Subscription,Value,1985
,Limited Tier Paid Subscription,Value,1985
,SoundExchange Distributions,Value,1985
,On-Demand Streaming (Ad-Supported),Value,1985
,Other Ad-Supported Streaming,Value,1985
,Synchronization,Value,1985
887.3070632,CD,Value (Adjusted),1985
,CD Single,Value (Adjusted),1985
5493.558364,Cassette,Value (Adjusted),1985
,Cassette Single,Value (Adjusted),1985
